date;location_key;mobility_retail_and_recreation;mobility_grocery_and_pharmacy;mobility_parks;mobility_transit_stations;mobility_workplaces;mobility_residential
15/02/2020;BE;3;2;29;9;1;-1
16/02/2020;BE;-7;-3;-30;-3;-3;1
17/02/2020;BE;1;2;8;4;4;0
18/02/2020;BE;3;3;18;6;4;0
19/02/2020;BE;3;1;13;5;4;0
20/02/2020;BE;-2;-1;4;3;3;0
21/02/2020;BE;0;3;15;7;2;0
22/02/2020;BE;-4;0;0;2;-2;0
23/02/2020;BE;-7;-7;-27;-2;-4;0
24/02/2020;BE;7;0;7;-11;-24;4
25/02/2020;BE;10;2;29;-8;-23;4
26/02/2020;BE;-1;-5;-4;-11;-21;3
27/02/2020;BE;-2;-2;-15;-15;-23;6
28/02/2020;BE;-1;3;3;-10;-23;5
29/02/2020;BE;-4;2;-7;-2;-5;1
01/03/2020;BE;0;6;-2;5;-1;0
02/03/2020;BE;-4;7;-12;0;3;0
03/03/2020;BE;2;6;11;1;4;0
04/03/2020;BE;1;4;7;1;4;0
05/03/2020;BE;-4;1;-16;-2;2;2
06/03/2020;BE;-1;5;2;3;2;1
07/03/2020;BE;5;3;33;8;2;0
08/03/2020;BE;-1;1;-21;-2;-1;0
09/03/2020;BE;-1;4;6;-1;2;0
10/03/2020;BE;-4;4;-5;-4;1;2
11/03/2020;BE;-4;4;-3;-4;1;2
12/03/2020;BE;-7;23;4;-7;-1;3
13/03/2020;BE;-8;40;-5;-16;-7;5
14/03/2020;BE;-70;-8;0;-34;-27;12
15/03/2020;BE;-66;-18;20;-34;-29;8
16/03/2020;BE;-32;16;7;-43;-36;14
17/03/2020;BE;-36;30;31;-46;-45;16
18/03/2020;BE;-61;-12;7;-56;-52;20
19/03/2020;BE;-75;-23;-19;-67;-61;27
20/03/2020;BE;-79;-22;-50;-71;-62;31
21/03/2020;BE;-84;-39;-34;-67;-51;22
22/03/2020;BE;-79;-45;-20;-63;-48;15
23/03/2020;BE;-74;-25;-20;-70;-65;26
24/03/2020;BE;-74;-21;-8;-69;-66;27
25/03/2020;BE;-76;-29;-19;-69;-65;26
26/03/2020;BE;-77;-25;-25;-72;-66;29
27/03/2020;BE;-78;-21;-27;-70;-65;31
28/03/2020;BE;-83;-36;-38;-67;-51;22
29/03/2020;BE;-84;-53;-66;-76;-52;17
30/03/2020;BE;-76;-30;-35;-72;-66;27
31/03/2020;BE;-75;-25;-18;-71;-66;28
01/04/2020;BE;-76;-31;-18;-69;-64;26
02/04/2020;BE;-77;-27;-38;-73;-66;30
03/04/2020;BE;-79;-21;-38;-72;-65;32
04/04/2020;BE;-82;-32;-30;-64;-50;22
05/04/2020;BE;-76;-36;-13;-60;-46;15
06/04/2020;BE;-74;-27;-19;-69;-66;26
07/04/2020;BE;-72;-19;4;-67;-66;26
08/04/2020;BE;-73;-25;-3;-66;-64;24
09/04/2020;BE;-73;-18;-7;-67;-66;27
10/04/2020;BE;-75;-14;-12;-67;-66;30
11/04/2020;BE;-79;-25;-20;-60;-47;20
12/04/2020;BE;-75;-40;-24;-61;-45;15
13/04/2020;BE;-86;-76;-31;-80;-88;35
14/04/2020;BE;-73;-11;-26;-70;-66;27
15/04/2020;BE;-74;-24;-12;-66;-64;25
16/04/2020;BE;-73;-20;-4;-67;-65;27
17/04/2020;BE;-75;-19;-14;-66;-63;30
18/04/2020;BE;-80;-35;-54;-67;-45;22
19/04/2020;BE;-76;-43;-29;-63;-41;15
20/04/2020;BE;-66;-28;-9;-65;-60;24
21/04/2020;BE;-66;-22;0;-64;-60;25
22/04/2020;BE;-68;-25;-1;-63;-58;23
23/04/2020;BE;-67;-19;2;-63;-60;25
24/04/2020;BE;-71;-19;-17;-64;-59;28
25/04/2020;BE;-75;-28;-25;-58;-39;19
26/04/2020;BE;-70;-33;-3;-54;-36;13
27/04/2020;BE;-63;-26;4;-62;-58;23
28/04/2020;BE;-68;-23;-38;-68;-58;24
29/04/2020;BE;-68;-21;-31;-64;-56;23
30/04/2020;BE;-60;-1;-28;-64;-57;25
01/05/2020;BE;-83;-69;-37;-76;-83;37
02/05/2020;BE;-71;-19;-36;-60;-37;19
03/05/2020;BE;-69;-36;-13;-55;-33;13
04/05/2020;BE;-57;-19;-4;-59;-53;21
05/05/2020;BE;-56;-16;17;-58;-53;21
06/05/2020;BE;-57;-19;21;-55;-51;19
07/05/2020;BE;-57;-13;19;-56;-52;22
08/05/2020;BE;-60;-12;11;-56;-51;24
09/05/2020;BE;-65;-18;17;-46;-28;15
10/05/2020;BE;-62;-25;-39;-51;-17;10
11/05/2020;BE;-41;-18;-18;-54;-48;19
12/05/2020;BE;-40;-11;6;-50;-47;19
13/05/2020;BE;-44;-15;-7;-50;-46;18
14/05/2020;BE;-47;-8;-1;-49;-47;19
15/05/2020;BE;-50;-7;1;-45;-44;21
16/05/2020;BE;-54;-14;-6;-36;-18;13
17/05/2020;BE;-59;-14;26;-32;-13;9
18/05/2020;BE;-34;-9;22;-41;-43;16
19/05/2020;BE;-33;-1;35;-39;-43;16
20/05/2020;BE;-26;11;34;-38;-43;13
21/05/2020;BE;-65;-52;80;-54;-80;25
22/05/2020;BE;-38;5;-5;-49;-62;23
23/05/2020;BE;-47;-13;-3;-36;-13;13
24/05/2020;BE;-58;-19;4;-37;-11;9
25/05/2020;BE;-29;-9;29;-40;-42;15
26/05/2020;BE;-29;-4;47;-39;-39;15
27/05/2020;BE;-32;-7;41;-38;-39;13
28/05/2020;BE;-32;1;33;-39;-40;16
29/05/2020;BE;-37;3;33;-37;-38;16
30/05/2020;BE;-41;-1;35;-24;0;8
31/05/2020;BE;-48;4;60;-22;0;5
01/06/2020;BE;-57;-55;125;-51;-78;22
02/06/2020;BE;-22;14;48;-34;-37;12
03/06/2020;BE;-29;-2;35;-34;-36;12
04/06/2020;BE;-36;-2;-19;-41;-37;16
05/06/2020;BE;-41;-5;-28;-43;-36;17
06/06/2020;BE;-39;-6;-10;-31;-2;10
07/06/2020;BE;-45;-9;22;-29;1;7
08/06/2020;BE;-14;-11;-9;-36;-36;12
09/06/2020;BE;-14;-5;18;-34;-35;12
10/06/2020;BE;-15;-9;25;-33;-34;11
11/06/2020;BE;-15;-3;27;-33;-35;12
12/06/2020;BE;-18;-3;27;-31;-33;12
13/06/2020;BE;-20;-6;60;-18;7;5
14/06/2020;BE;-21;-4;48;-20;17;2
15/06/2020;BE;-7;-7;53;-29;-34;10
16/06/2020;BE;-8;0;47;-29;-33;11
17/06/2020;BE;-17;-9;3;-33;-33;11
18/06/2020;BE;-12;-2;33;-31;-34;11
19/06/2020;BE;-13;-2;49;-27;-32;10
20/06/2020;BE;-17;-9;70;-15;7;3
21/06/2020;BE;-18;-5;55;-20;9;2
22/06/2020;BE;-2;-4;70;-27;-35;9
23/06/2020;BE;2;4;102;-23;-34;8
24/06/2020;BE;-5;-1;93;-24;-31;7
25/06/2020;BE;-6;3;89;-25;-33;8
26/06/2020;BE;-15;-1;56;-25;-32;9
27/06/2020;BE;-19;-7;43;-16;2;4
28/06/2020;BE;-12;-4;56;-16;13;1
29/06/2020;BE;2;-1;51;-25;-33;8
30/06/2020;BE;2;0;38;-26;-32;9
01/07/2020;BE;-5;-6;35;-27;-34;7
02/07/2020;BE;-3;-1;58;-27;-36;9
03/07/2020;BE;-8;-3;77;-24;-36;8
04/07/2020;BE;-17;-10;39;-15;0;3
05/07/2020;BE;-13;-6;49;-16;5;1
06/07/2020;BE;2;-4;77;-28;-40;8
07/07/2020;BE;5;-1;111;-24;-39;7
08/07/2020;BE;-10;-10;19;-32;-37;8
09/07/2020;BE;-4;-4;67;-29;-38;8
10/07/2020;BE;-12;-4;70;-27;-38;8
11/07/2020;BE;-18;-14;98;-9;2;1
12/07/2020;BE;-4;-3;124;-3;10;-2
13/07/2020;BE;5;-5;151;-25;-43;7
14/07/2020;BE;-3;-4;71;-32;-44;10
15/07/2020;BE;-5;-10;89;-30;-40;7
16/07/2020;BE;-8;-5;57;-35;-43;10
17/07/2020;BE;-14;-7;102;-29;-42;8
18/07/2020;BE;-23;-16;124;-12;-1;0
19/07/2020;BE;-11;-5;122;-10;7;-2
20/07/2020;BE;13;8;172;-33;-60;9
21/07/2020;BE;-27;-56;252;-43;-77;15
22/07/2020;BE;-3;-2;142;-30;-47;7
23/07/2020;BE;-6;-4;146;-32;-49;10
24/07/2020;BE;-21;-6;86;-35;-48;11
25/07/2020;BE;-30;-16;64;-24;-5;4
26/07/2020;BE;-21;-11;83;-18;6;1
27/07/2020;BE;-6;-6;115;-36;-51;11
28/07/2020;BE;-7;-5;123;-37;-50;12
29/07/2020;BE;-13;-12;127;-35;-48;10
30/07/2020;BE;-12;-3;127;-36;-51;11
31/07/2020;BE;-29;-10;108;-38;-51;12
01/08/2020;BE;-31;-17;87;-24;-4;4
02/08/2020;BE;-13;-8;90;-17;8;1
03/08/2020;BE;-4;-6;85;-38;-50;11
04/08/2020;BE;1;-2;145;-34;-48;10
05/08/2020;BE;-7;-8;137;-33;-46;8
06/08/2020;BE;-10;-3;128;-37;-49;11
07/08/2020;BE;-23;-7;112;-37;-48;11
08/08/2020;BE;-33;-17;95;-26;-6;5
09/08/2020;BE;-26;-7;78;-24;5;1
10/08/2020;BE;-6;-5;114;-38;-48;10
11/08/2020;BE;-7;-5;123;-38;-47;11
12/08/2020;BE;-13;-12;106;-37;-44;9
13/08/2020;BE;-14;-6;83;-39;-46;12
14/08/2020;BE;-15;3;82;-35;-45;11
15/08/2020;BE;-48;-57;87;-28;-19;6
16/08/2020;BE;-17;2;68;-21;6;1
17/08/2020;BE;4;3;92;-35;-48;10
18/08/2020;BE;-2;-4;110;-34;-42;9
19/08/2020;BE;-9;-12;87;-33;-40;8
20/08/2020;BE;-10;-9;104;-35;-42;9
21/08/2020;BE;-16;-10;95;-33;-41;10
22/08/2020;BE;-22;-16;68;-21;-1;4
23/08/2020;BE;-19;-10;55;-23;6;1
24/08/2020;BE;-2;-6;69;-34;-41;9
25/08/2020;BE;-3;-5;64;-33;-40;9
26/08/2020;BE;-9;-11;46;-33;-37;8
27/08/2020;BE;-5;-6;75;-31;-38;9
28/08/2020;BE;-12;-5;48;-30;-37;9
29/08/2020;BE;-16;-11;38;-18;-1;3
30/08/2020;BE;-20;-11;19;-23;5;2
31/08/2020;BE;9;2;55;-29;-40;9
01/09/2020;BE;0;2;66;-21;-36;7
02/09/2020;BE;-4;-4;69;-19;-31;5
03/09/2020;BE;-12;-4;38;-22;-34;6
04/09/2020;BE;-13;-4;57;-19;-31;6
05/09/2020;BE;-14;-9;63;-15;-1;3
06/09/2020;BE;-8;-3;82;-11;6;0
07/09/2020;BE;-4;-3;70;-18;-35;4
08/09/2020;BE;-7;-2;66;-18;-34;5
09/09/2020;BE;-7;-5;65;-17;-30;4
10/09/2020;BE;-9;-4;75;-17;-31;5
11/09/2020;BE;-12;-4;84;-15;-30;4
12/09/2020;BE;-15;-8;90;-9;0;1
13/09/2020;BE;-5;-2;117;-4;7;-2
14/09/2020;BE;-4;-4;104;-14;-26;3
15/09/2020;BE;-7;-3;113;-15;-26;4
16/09/2020;BE;-8;-7;87;-14;-25;4
17/09/2020;BE;-11;-6;70;-18;-26;5
18/09/2020;BE;-14;-5;80;-15;-25;4
19/09/2020;BE;-16;-10;93;-10;-1;1
20/09/2020;BE;-7;-4;109;2;5;-1
21/09/2020;BE;-7;-5;80;-15;-26;4
22/09/2020;BE;-9;-4;81;-14;-25;5
23/09/2020;BE;-14;-5;37;-16;-22;5
24/09/2020;BE;-18;-5;19;-19;-23;6
25/09/2020;BE;-23;-6;2;-19;-23;7
26/09/2020;BE;-23;-9;-2;-25;-4;5
27/09/2020;BE;-26;-13;7;-24;1;4
28/09/2020;BE;-19;-9;-7;-23;-25;7
29/09/2020;BE;-10;-1;36;-16;-21;5
30/09/2020;BE;-10;-3;27;-14;-20;5
01/10/2020;BE;-17;-2;1;-19;-19;6
02/10/2020;BE;-17;-1;3;-16;-20;7
03/10/2020;BE;-15;-3;7;-17;-3;4
04/10/2020;BE;-17;-11;7;-19;2;3
05/10/2020;BE;-12;-4;9;-18;-24;6
06/10/2020;BE;-14;-2;16;-17;-20;6
07/10/2020;BE;-12;-3;18;-16;-18;5
08/10/2020;BE;-20;-4;-2;-20;-19;7
09/10/2020;BE;-20;-2;20;-20;-20;7
10/10/2020;BE;-19;-7;19;-20;-3;5
11/10/2020;BE;-26;-11;16;-25;0;4
12/10/2020;BE;-16;-3;17;-20;-21;7
13/10/2020;BE;-19;-3;8;-22;-21;8
14/10/2020;BE;-17;-5;13;-19;-19;7
15/10/2020;BE;-22;-3;8;-21;-20;9
16/10/2020;BE;-22;-1;13;-19;-20;9
17/10/2020;BE;-20;-5;30;-18;-4;7
18/10/2020;BE;-23;-12;24;-22;-1;5
19/10/2020;BE;-33;-4;20;-24;-25;10
20/10/2020;BE;-35;-3;3;-28;-26;11
21/10/2020;BE;-35;-4;5;-26;-25;11
22/10/2020;BE;-38;-1;7;-27;-26;12
23/10/2020;BE;-41;2;12;-25;-26;13
24/10/2020;BE;-42;-5;10;-29;-16;11
25/10/2020;BE;-51;-10;-1;-34;-16;8
26/10/2020;BE;-34;-5;5;-31;-29;12
27/10/2020;BE;-35;-2;0;-32;-29;12
28/10/2020;BE;-36;-5;-10;-36;-31;13
29/10/2020;BE;-37;2;-20;-39;-34;15
30/10/2020;BE;-35;9;-4;-35;-34;15
31/10/2020;BE;-35;-2;31;-25;-18;11
01/11/2020;BE;-52;-16;-7;-39;-22;9
02/11/2020;BE;-57;-19;7;-58;-62;22
03/11/2020;BE;-52;-9;41;-53;-53;19
04/11/2020;BE;-53;-15;53;-49;-50;17
05/11/2020;BE;-52;-7;53;-51;-52;20
06/11/2020;BE;-56;-6;51;-50;-52;21
07/11/2020;BE;-59;-15;76;-38;-25;13
08/11/2020;BE;-56;-17;58;-37;-22;9
09/11/2020;BE;-47;-11;43;-50;-49;17
10/11/2020;BE;-47;4;18;-51;-50;18
11/11/2020;BE;-67;-58;87;-59;-79;25
12/11/2020;BE;-50;5;17;-50;-48;19
13/11/2020;BE;-56;-3;2;-50;-47;21
14/11/2020;BE;-57;-10;47;-38;-22;13
15/11/2020;BE;-65;-20;-27;-50;-23;11
16/11/2020;BE;-50;-11;-11;-41;-32;14
17/11/2020;BE;-49;-7;3;-40;-32;14
18/11/2020;BE;-47;-10;47;-35;-31;13
19/11/2020;BE;-54;-9;-21;-42;-32;16
20/11/2020;BE;-54;-3;1;-39;-31;17
21/11/2020;BE;-58;-11;13;-41;-20;13
22/11/2020;BE;-63;-18;-11;-45;-21;10
23/11/2020;BE;-48;-11;8;-39;-31;13
24/11/2020;BE;-47;-5;19;-38;-31;14
25/11/2020;BE;-48;-9;15;-37;-30;13
26/11/2020;BE;-51;-5;2;-39;-30;15
27/11/2020;BE;-52;-1;-1;-38;-30;16
28/11/2020;BE;-54;-9;45;-33;-18;12
29/11/2020;BE;-59;-15;10;-39;-18;9
30/11/2020;BE;-48;-11;-17;-41;-30;14
01/12/2020;BE;-34;1;-9;-36;-29;13
02/12/2020;BE;-33;-1;-1;-34;-27;12
03/12/2020;BE;-39;1;-21;-37;-28;15
04/12/2020;BE;-39;6;-10;-33;-27;15
05/12/2020;BE;-42;-3;1;-32;-14;11
06/12/2020;BE;-52;-11;2;-37;-15;8
07/12/2020;BE;-33;-5;-13;-35;-29;13
08/12/2020;BE;-33;0;7;-34;-27;13
09/12/2020;BE;-36;-6;-7;-35;-26;12
10/12/2020;BE;-39;-1;-1;-35;-28;14
11/12/2020;BE;-44;-1;-26;-35;-28;16
12/12/2020;BE;-44;-4;-14;-34;-14;12
13/12/2020;BE;-47;-8;16;-33;-14;8
14/12/2020;BE;-31;-3;-6;-35;-29;13
15/12/2020;BE;-30;3;1;-35;-31;13
16/12/2020;BE;-31;0;12;-34;-32;12
17/12/2020;BE;-33;5;3;-36;-33;14
18/12/2020;BE;-37;6;11;-33;-32;15
19/12/2020;BE;-43;-3;-4;-32;-14;12
20/12/2020;BE;-39;6;32;-27;-11;8
21/12/2020;BE;-24;6;-22;-49;-53;18
22/12/2020;BE;-19;23;15;-45;-53;17
23/12/2020;BE;-24;27;-13;-46;-53;16
24/12/2020;BE;-34;22;-29;-54;-64;20
25/12/2020;BE;-81;-81;7;-71;-84;28
26/12/2020;BE;-55;-17;-1;-42;-26;14
27/12/2020;BE;-67;-28;-56;-56;-23;12
28/12/2020;BE;-24;9;30;-49;-63;20
29/12/2020;BE;-24;17;45;-48;-62;20
30/12/2020;BE;-26;25;37;-45;-60;17
31/12/2020;BE;-36;28;1;-54;-67;21
01/01/2021;BE;-82;-83;9;-71;-83;28
02/01/2021;BE;-53;-15;7;-40;-23;14
03/01/2021;BE;-58;-17;-1;-43;-14;10
04/01/2021;BE;-36;0;-26;-40;-30;14
05/01/2021;BE;-37;0;-11;-39;-30;14
06/01/2021;BE;-36;-3;-14;-39;-28;13
07/01/2021;BE;-44;-7;-26;-41;-29;15
08/01/2021;BE;-46;-4;-22;-39;-27;16
09/01/2021;BE;-43;-5;6;-34;-11;12
10/01/2021;BE;-51;-14;25;-35;-11;8
11/01/2021;BE;-36;-7;-16;-38;-28;13
12/01/2021;BE;-40;-6;-13;-39;-29;13
13/01/2021;BE;-41;-8;-10;-38;-28;12
14/01/2021;BE;-50;-12;-27;-42;-31;14
15/01/2021;BE;-49;-6;-16;-39;-29;14
16/01/2021;BE;-51;-13;-6;-40;-16;12
17/01/2021;BE;-58;-19;2;-43;-15;8
18/01/2021;BE;-40;-10;-10;-39;-30;12
19/01/2021;BE;-45;-11;-22;-41;-31;13
20/01/2021;BE;-41;-8;-3;-37;-29;12
21/01/2021;BE;-47;-10;-17;-40;-30;14
22/01/2021;BE;-47;-3;0;-36;-28;14
23/01/2021;BE;-46;-7;-5;-35;-12;11
24/01/2021;BE;-56;-17;14;-39;-14;8
25/01/2021;BE;-39;-8;-1;-38;-31;12
26/01/2021;BE;-39;-5;9;-37;-30;12
27/01/2021;BE;-43;-9;-14;-38;-29;12
28/01/2021;BE;-46;-5;-25;-40;-31;14
29/01/2021;BE;-45;0;-13;-37;-30;15
30/01/2021;BE;-47;-7;-35;-39;-14;12
31/01/2021;BE;-52;-15;16;-34;-12;8
01/02/2021;BE;-39;-6;-11;-37;-30;12
02/02/2021;BE;-40;-2;-9;-37;-30;12
03/02/2021;BE;-42;-9;-21;-39;-29;13
04/02/2021;BE;-42;-2;10;-35;-29;13
05/02/2021;BE;-43;3;6;-34;-27;14
06/02/2021;BE;-43;-1;-12;-35;-11;11
07/02/2021;BE;-60;-20;-4;-43;-17;9
08/02/2021;BE;-43;-12;-14;-41;-38;15
09/02/2021;BE;-41;-3;6;-40;-37;16
10/02/2021;BE;-40;-4;-6;-41;-34;14
11/02/2021;BE;-42;1;0;-41;-35;16
12/02/2021;BE;-44;2;-5;-40;-34;16
13/02/2021;BE;-37;1;26;-32;-13;10
14/02/2021;BE;-43;-4;43;-32;-9;7
15/02/2021;BE;-33;-6;-7;-45;-45;15
16/02/2021;BE;-29;2;39;-40;-44;14
17/02/2021;BE;-32;-3;36;-38;-40;12
18/02/2021;BE;-37;-1;2;-43;-43;16
19/02/2021;BE;-38;6;43;-37;-42;16
20/02/2021;BE;-37;1;92;-19;-10;8
21/02/2021;BE;-38;9;126;-12;-5;3
22/02/2021;BE;-32;0;27;-32;-26;11
23/02/2021;BE;-30;5;55;-29;-26;11
24/02/2021;BE;-27;4;92;-24;-24;9
25/02/2021;BE;-35;5;26;-30;-25;12
26/02/2021;BE;-37;10;27;-28;-23;12
27/02/2021;BE;-37;4;27;-26;-7;9
28/02/2021;BE;-40;6;81;-18;-4;5
01/03/2021;BE;-30;4;25;-31;-25;10
02/03/2021;BE;-28;7;63;-28;-25;10
03/03/2021;BE;-27;5;56;-26;-24;9
04/03/2021;BE;-40;2;-20;-36;-26;13
05/03/2021;BE;-37;11;19;-28;-23;12
06/03/2021;BE;-34;6;41;-25;-7;9
07/03/2021;BE;-41;5;53;-24;-4;6
08/03/2021;BE;-28;5;26;-31;-26;11
09/03/2021;BE;-33;4;3;-33;-26;12
10/03/2021;BE;-32;3;4;-32;-24;11
11/03/2021;BE;-39;2;-14;-34;-25;13
12/03/2021;BE;-42;7;-8;-32;-24;14
13/03/2021;BE;-40;3;-20;-35;-9;11
14/03/2021;BE;-48;-3;3;-34;-6;8
15/03/2021;BE;-33;1;3;-33;-26;11
16/03/2021;BE;-36;2;-10;-34;-26;12
17/03/2021;BE;-34;2;-1;-32;-24;11
18/03/2021;BE;-38;4;-4;-32;-24;13
19/03/2021;BE;-37;10;32;-27;-23;12
20/03/2021;BE;-36;4;56;-23;-6;9
21/03/2021;BE;-46;1;21;-31;-6;7
22/03/2021;BE;-32;3;17;-32;-25;11
23/03/2021;BE;-29;7;49;-29;-25;11
24/03/2021;BE;-21;9;66;-25;-24;10
25/03/2021;BE;-26;12;23;-29;-25;12
26/03/2021;BE;-29;14;28;-26;-24;12
27/03/2021;BE;-52;-1;22;-34;-9;11
28/03/2021;BE;-49;-6;62;-25;-7;7
29/03/2021;BE;-35;-5;108;-46;-41;14
30/03/2021;BE;-29;13;155;-31;-37;12
31/03/2021;BE;-31;9;132;-30;-37;10
01/04/2021;BE;-34;14;84;-36;-38;14
02/04/2021;BE;-41;17;38;-39;-39;16
03/04/2021;BE;-43;13;43;-31;-12;9
04/04/2021;BE;-48;-3;47;-31;-8;6
05/04/2021;BE;-65;-58;25;-65;-82;26
06/04/2021;BE;-35;18;15;-48;-49;17
07/04/2021;BE;-39;5;19;-45;-46;15
08/04/2021;BE;-33;14;72;-40;-46;16
09/04/2021;BE;-39;11;78;-38;-45;16
10/04/2021;BE;-51;0;-24;-43;-15;12
11/04/2021;BE;-50;-1;23;-34;-9;7
12/04/2021;BE;-30;5;45;-41;-43;14
13/04/2021;BE;-29;12;95;-38;-43;14
14/04/2021;BE;-33;4;69;-37;-41;12
15/04/2021;BE;-35;11;65;-39;-42;15
16/04/2021;BE;-40;11;76;-37;-41;15
17/04/2021;BE;-42;4;83;-26;-7;9
18/04/2021;BE;-38;11;96;-19;-1;5
19/04/2021;BE;-34;6;36;-29;-24;11
20/04/2021;BE;-31;11;71;-26;-24;11
21/04/2021;BE;-31;8;63;-25;-23;10
22/04/2021;BE;-35;11;58;-27;-23;11
23/04/2021;BE;-39;15;72;-24;-22;11
24/04/2021;BE;-39;9;84;-22;-3;8
25/04/2021;BE;-38;14;87;-18;0;5
26/04/2021;BE;-22;9;62;-25;-24;10
27/04/2021;BE;-21;13;91;-24;-23;10
28/04/2021;BE;-20;12;79;-21;-22;9
29/04/2021;BE;-29;18;12;-28;-23;12
30/04/2021;BE;-26;36;46;-25;-27;12
01/05/2021;BE;-56;-40;76;-27;-24;10
02/05/2021;BE;-35;25;58;-19;-1;5
03/05/2021;BE;-13;25;46;-25;-27;10
04/05/2021;BE;-24;17;7;-27;-24;11
05/05/2021;BE;-19;17;27;-23;-22;10
06/05/2021;BE;-24;18;18;-25;-22;11
07/05/2021;BE;-25;23;53;-19;-20;10
08/05/2021;BE;-14;14;45;-10;2;5
09/05/2021;BE;-10;15;76;-5;14;1
10/05/2021;BE;-11;9;57;-19;-22;9
11/05/2021;BE;-10;17;57;-17;-21;9
12/05/2021;BE;5;33;99;-8;-22;5
13/05/2021;BE;-32;-44;146;-42;-78;21
14/05/2021;BE;-4;31;120;-27;-59;16
15/05/2021;BE;-22;7;54;-16;-8;7
16/05/2021;BE;-26;9;39;-18;3;4
17/05/2021;BE;-16;15;30;-21;-20;9
18/05/2021;BE;-10;18;66;-17;-19;9
19/05/2021;BE;-14;15;41;-18;-17;9
20/05/2021;BE;-13;15;61;-19;-18;9
21/05/2021;BE;-20;21;49;-17;-16;9
22/05/2021;BE;-27;15;7;-25;-1;8
23/05/2021;BE;-10;16;104;-8;5;3
24/05/2021;BE;-44;-49;54;-54;-79;23
25/05/2021;BE;-14;33;23;-21;-20;9
26/05/2021;BE;-12;19;42;-18;-16;8
27/05/2021;BE;-13;20;49;-19;-16;9
28/05/2021;BE;-9;21;97;-10;-12;7
29/05/2021;BE;-10;15;116;-4;9;3
30/05/2021;BE;-1;26;139;0;13;1
31/05/2021;BE;4;21;105;-13;-16;7
01/06/2021;BE;7;29;130;-11;-16;6
02/06/2021;BE;5;25;112;-10;-15;6
03/06/2021;BE;-5;25;69;-15;-14;8
04/06/2021;BE;-16;20;49;-14;-12;9
05/06/2021;BE;-14;16;47;-14;8;6
06/06/2021;BE;2;23;121;-1;15;1
07/06/2021;BE;5;22;93;-13;-16;7
08/06/2021;BE;5;26;104;-12;-15;7
09/06/2021;BE;11;22;103;-9;-14;5
10/06/2021;BE;5;25;92;-12;-14;7
11/06/2021;BE;1;25;101;-7;-12;5
12/06/2021;BE;-6;15;84;-4;9;2
13/06/2021;BE;3;24;108;1;15;-1
14/06/2021;BE;7;21;97;-11;-17;6
15/06/2021;BE;7;25;101;-11;-16;7
16/06/2021;BE;4;20;99;-10;-15;5
17/06/2021;BE;-2;20;67;-14;-17;7
18/06/2021;BE;-4;18;83;-11;-15;7
19/06/2021;BE;-8;10;73;-6;8;3
20/06/2021;BE;1;18;83;-3;12;1
21/06/2021;BE;5;17;40;-16;-20;7
22/06/2021;BE;1;17;37;-19;-21;8
23/06/2021;BE;9;18;72;-14;-22;5
24/06/2021;BE;7;18;82;-16;-25;7
25/06/2021;BE;-2;16;71;-15;-23;6
26/06/2021;BE;-5;9;77;0;9;1
27/06/2021;BE;5;20;70;2;14;-1
28/06/2021;BE;10;18;71;-17;-27;6
29/06/2021;BE;10;21;73;-19;-26;5
30/06/2021;BE;4;13;31;-22;-25;5
01/07/2021;BE;12;23;77;-19;-32;7
02/07/2021;BE;3;19;98;-16;-31;5
03/07/2021;BE;-8;5;64;-5;3;2
04/07/2021;BE;2;15;45;-6;9;0
05/07/2021;BE;14;20;76;-23;-36;7
06/07/2021;BE;12;20;83;-22;-36;7
07/07/2021;BE;12;12;105;-19;-34;5
08/07/2021;BE;9;18;91;-22;-36;7
09/07/2021;BE;1;15;101;-19;-34;6
10/07/2021;BE;-11;4;51;-8;0;2
11/07/2021;BE;9;19;101;6;10;-3
12/07/2021;BE;10;16;84;-25;-42;8
13/07/2021;BE;7;17;65;-29;-42;9
14/07/2021;BE;2;8;43;-28;-40;8
15/07/2021;BE;-10;8;36;-34;-43;11
16/07/2021;BE;-4;14;83;-25;-41;8
17/07/2021;BE;-10;1;103;-3;1;0
18/07/2021;BE;5;16;121;3;10;-4
19/07/2021;BE;19;21;141;-25;-50;7
20/07/2021;BE;24;35;173;-23;-51;6
21/07/2021;BE;-17;-43;214;-32;-77;11
22/07/2021;BE;13;30;142;-26;-51;8
23/07/2021;BE;-3;14;134;-24;-48;8
24/07/2021;BE;-19;-2;49;-16;-3;3
25/07/2021;BE;-7;7;58;-11;11;0
26/07/2021;BE;9;16;78;-31;-50;10
27/07/2021;BE;11;16;96;-30;-49;11
28/07/2021;BE;9;9;103;-26;-47;8
29/07/2021;BE;13;17;121;-26;-47;9
30/07/2021;BE;-2;14;84;-26;-46;9
31/07/2021;BE;-10;1;66;-7;1;1
01/08/2021;BE;-7;9;44;-11;10;0
02/08/2021;BE;14;19;107;-27;-47;9
03/08/2021;BE;16;20;135;-26;-46;9
04/08/2021;BE;10;10;118;-24;-43;7
05/08/2021;BE;11;16;122;-25;-44;9
06/08/2021;BE;-3;14;79;-27;-43;9
07/08/2021;BE;-11;1;67;-10;2;2
08/08/2021;BE;-1;12;63;-6;12;0
09/08/2021;BE;12;18;91;-27;-42;9
10/08/2021;BE;13;19;116;-25;-41;8
11/08/2021;BE;14;10;157;-20;-39;5
12/08/2021;BE;11;17;155;-22;-41;7
